day,close,pem,pep,p20,p50,p80
2009-01-09,nan,30.82,0.00,30.82,30.82,30.82
2009-01-12,1822.58,31.48,50.00,30.95,31.15,31.35
2009-01-13,1829.90,29.35,0.00,29.94,30.82,31.22
2009-01-14,1774.56,30.60,25.00,30.10,30.71,31.08
2009-01-15,1817.24,31.29,60.00,30.35,30.82,31.33
2009-01-16,1814.10,31.39,66.67,30.60,31.05,31.39
2009-01-19,1818.73,32.07,85.71,30.64,31.29,31.46
2009-01-20,1797.45,32.22,87.50,30.69,31.34,31.83
2009-01-21,1827.45,32.68,88.89,30.73,31.39,32.13
2009-01-22,1826.33,33.25,90.00,30.78,31.44,32.31
2009-01-23,1865.83,31.81,54.55,30.82,31.48,32.22
2009-02-02,1843.09,32.31,75.00,30.91,31.64,32.29
2009-02-03,1867.56,32.82,84.62,31.01,31.81,32.53
2009-02-04,1890.76,33.34,92.86,31.10,31.94,32.74
2009-02-05,1909.48,32.39,66.67,31.20,32.07,32.71
2009-02-06,1866.67,33.05,81.25,31.29,32.14,32.82
2009-02-09,1915.15,34.58,94.12,31.31,32.22,33.00
2009-02-10,1972.31,34.11,88.89,31.33,32.27,33.17
2009-02-11,2022.34,34.55,89.47,31.35,32.31,33.29
2009-02-12,2025.46,35.80,95.00,31.37,32.35,33.49
2009-02-13,2074.29,36.59,95.24,31.39,32.39,34.11
2009-02-16,2123.56,35.66,86.36,31.41,32.53,34.46
2009-02-17,2130.07,34.23,73.91,31.43,32.68,34.42
2009-02-18,2085.32,33.12,58.33,31.44,32.75,34.36
2009-02-19,2038.03,33.53,68.00,31.46,32.82,34.29
2009-02-20,2073.71,34.16,73.08,31.48,32.94,34.23
2009-02-23,2122.49,34.80,85.19,31.55,33.05,34.49
2009-02-24,2183.98,32.60,39.29,31.61,32.94,34.42
2009-02-25,2105.50,32.46,37.93,31.68,32.82,34.36
2009-02-26,2099.08,31.47,16.67,31.48,32.75,34.29
2009-02-27,1970.10,30.86,9.68,31.47,32.68,34.23
2009-03-02,1912.95,31.38,15.62,31.41,32.64,34.22
2009-03-03,1959.59,30.02,3.03,31.38,32.60,34.20
2009-03-04,2014.73,31.33,17.65,31.36,32.53,34.19
2009-03-05,2100.06,31.14,14.29,31.32,32.46,34.17
2009-03-06,2084.52,30.41,5.56,31.29,32.42,34.16
2009-03-09,2047.41,29.29,0.00,31.17,32.39,34.15
2009-03-10,1974.96,29.69,5.26,30.97,32.35,34.14
2009-03-11,2015.86,29.74,7.69,30.84,32.31,34.13
2009-03-12,2020.93,29.77,10.00,30.78,32.27,34.12
2009-03-13,2022.83,30.06,14.63,30.60,32.22,34.11
2009-03-16,2000.66,30.30,16.67,30.45,32.14,33.99
2009-03-17,2012.05,29.62,4.65,30.34,32.07,33.88
2009-03-18,2074.35,29.52,4.55,30.20,31.94,33.76
2009-03-19,2092.92,30.02,15.56,30.05,31.81,33.65
2009-03-20,2111.76,29.47,4.35,30.02,31.64,33.53
2009-03-23,2079.46,29.89,17.02,30.02,31.48,33.49
2009-03-24,2101.14,32.62,64.58,30.02,31.64,33.45
2009-03-25,2134.65,31.54,48.98,30.02,31.54,33.42
2009-03-26,2070.43,31.88,52.00,30.02,31.67,33.38
2009-03-27,2089.42,31.96,52.94,30.02,31.81,33.34
2009-03-30,2088.03,32.81,69.23,30.03,31.84,33.32
2009-03-31,2103.85,32.91,71.70,30.04,31.88,33.30
2009-04-01,2113.82,33.66,81.48,30.04,31.92,33.42
2009-04-02,2131.29,34.88,92.73,30.05,31.96,33.56
2009-04-03,2138.40,34.45,85.71,30.06,32.02,33.66
2009-04-07,2110.50,34.60,89.47,30.11,32.07,34.02
2009-04-08,2125.39,33.47,74.14,30.16,32.14,33.93
2009-04-09,2066.97,33.61,76.27,30.20,32.22,33.84
2009-04-10,2080.99,34.30,83.33,30.25,32.27,34.12
2009-04-13,2126.69,34.14,78.69,30.30,32.31,34.14
2009-04-14,2136.96,33.70,75.81,30.32,32.35,34.13
2009-04-15,2148.61,33.86,76.19,30.34,32.39,34.13
2009-04-16,2183.43,34.91,93.75,30.37,32.42,34.15
2009-04-17,2215.45,34.88,90.77,30.39,32.46,34.17
2009-04-20,2203.82,35.16,93.94,30.41,32.53,34.23
2009-04-21,2234.83,34.87,88.06,30.45,32.60,34.29
2009-04-22,2223.17,33.16,60.29,30.49,32.61,34.27
