day,close,pem,pep,p20,p50,p80
2011-08-02,nan,40.83,0.00,40.83,40.83,40.83
2011-08-03,3457.89,41.16,50.00,40.90,40.99,41.09
2011-08-04,3462.98,41.23,66.67,40.96,41.16,41.20
2011-08-05,3473.52,40.34,0.00,40.64,40.99,41.19
2011-08-08,3400.43,38.34,0.00,39.94,40.83,41.17
2011-08-09,3257.11,38.24,0.00,38.34,40.59,41.16
2011-08-10,3256.30,38.58,28.57,38.39,40.34,41.09
2011-08-11,3294.26,39.39,37.50,38.44,39.87,41.03
2011-08-12,3348.18,39.89,44.44,38.48,39.89,40.96
2011-08-15,3370.21,40.25,50.00,38.53,40.07,40.90
2011-08-16,3419.89,39.82,36.36,38.58,39.89,40.83
2011-08-17,3395.64,39.86,41.67,38.74,39.87,40.73
2011-08-18,3384.14,39.33,23.08,38.88,39.86,40.63
2011-08-19,3323.58,39.26,21.43,38.99,39.84,40.54
2011-08-22,3292.86,39.27,26.67,39.12,39.82,40.44
2011-08-23,3263.78,39.67,43.75,39.26,39.75,40.34
2011-08-24,3316.38,39.60,41.18,39.26,39.67,40.32
2011-08-25,3307.90,40.05,66.67,39.26,39.75,40.30
2011-08-26,3397.27,40.38,78.95,39.27,39.82,40.36
2011-08-29,3400.34,40.27,70.00,39.27,39.84,40.35
2011-08-30,3356.70,39.95,57.14,39.27,39.86,40.34
2011-08-31,3336.01,39.47,31.82,39.28,39.84,40.33
2011-09-01,3331.98,39.25,13.04,39.26,39.82,40.31
2011-09-02,3313.78,38.87,12.50,39.26,39.75,40.30
2011-09-05,3276.95,38.21,0.00,39.17,39.67,40.28
2011-09-06,3203.01,37.72,0.00,38.87,39.64,40.27
2011-09-07,3179.70,38.66,18.52,38.70,39.60,40.27
2011-09-08,3249.36,38.27,10.71,38.61,39.53,40.26
2011-09-09,3219.83,38.03,3.45,38.48,39.47,40.26
2011-09-13,3208.34,37.52,0.00,38.33,39.43,40.25
2011-09-14,3165.22,37.86,6.45,38.27,39.39,40.25
2011-09-15,3189.48,37.86,9.38,38.25,39.36,40.21
2011-09-16,3188.57,37.91,12.12,38.22,39.33,40.17
2011-09-19,3192.08,37.02,0.00,38.14,39.30,40.13
2011-09-20,3129.02,37.28,2.86,38.01,39.27,40.09
2011-09-21,3143.22,38.39,33.33,38.03,39.27,40.05
2011-09-22,3236.14,37.34,5.41,37.93,39.26,40.03
2011-09-23,3139.47,36.91,0.00,37.88,39.25,40.01
2011-09-26,3117.81,36.60,0.00,37.86,39.25,39.99
2011-09-27,3057.86,36.73,2.50,37.83,39.06,39.97
2011-09-28,3080.89,36.26,0.00,37.72,38.87,39.95
2011-09-29,3039.79,35.25,0.00,37.56,38.77,39.94
2011-09-30,2981.47,35.01,0.00,37.41,38.66,39.93
2011-10-10,2972.77,34.75,0.00,37.32,38.62,39.91
2011-10-11,2950.19,34.68,0.00,37.23,38.58,39.90
2011-10-12,2943.76,36.04,8.70,37.02,38.48,39.89
2011-10-13,3049.38,36.44,12.77,36.93,38.39,39.88
2011-10-14,3079.31,36.16,10.42,36.80,38.37,39.88
2011-10-17,3067.60,36.44,14.29,36.68,38.34,39.87
2011-10-18,3080.96,35.37,8.00,36.57,38.31,39.87
2011-10-19,2992.03,35.16,5.88,36.44,38.27,39.86
2011-10-20,2979.86,33.97,0.00,36.44,38.26,39.85
2011-10-21,2901.72,33.47,0.00,36.33,38.24,39.84
2011-10-24,2871.39,33.99,3.70,36.22,38.23,39.84
2011-10-25,2938.16,34.94,9.09,36.14,38.21,39.83
2011-10-26,3003.89,35.15,12.50,36.04,38.12,39.82
2011-10-27,3033.20,35.07,12.28,35.50,38.03,39.79
2011-10-28,3038.43,35.63,20.69,35.47,37.97,39.76
2011-10-31,3100.59,35.88,22.03,35.53,37.91,39.73
2011-11-01,3100.44,36.14,25.00,35.58,37.88,39.70
2011-11-02,3102.53,36.67,34.43,35.63,37.86,39.67
2011-11-03,3155.78,36.96,38.71,35.68,37.86,39.66
2011-11-04,3164.57,37.31,42.86,35.73,37.86,39.64
2011-11-07,3187.57,37.08,40.62,35.78,37.79,39.63
2011-11-08,3164.37,36.63,32.31,35.83,37.72,39.61
2011-11-09,3142.49,37.26,42.42,35.88,37.62,39.60
2011-11-10,3180.28,37.00,38.81,35.91,37.52,39.57
2011-11-11,3127.82,37.11,42.65,35.94,37.43,39.55
2011-11-14,3124.66,37.76,52.17,35.98,37.52,39.52
2011-11-15,3193.56,38.05,58.57,36.01,37.62,39.50
2011-11-16,3199.47,36.99,36.62,36.04,37.52,39.47
2011-11-17,3115.88,37.14,43.06,36.06,37.43,39.45
2011-11-18,3109.42,35.92,19.18,35.97,37.34,39.44
2011-11-21,3033.94,36.01,20.27,35.97,37.33,39.42
2011-11-22,3037.41,35.71,17.33,35.91,37.31,39.41
